2025-12-30T19:18:38.685059 INFO Script started at 2025-12-30_191838
2025-12-30T19:18:38.685450 INFO Running in FULL mode
2025-12-30T19:18:38.685776 INFO Log file: /workspaces/-cpes_csv/cpes/logs/cpes_download_2025-12-30_191838.log
2025-12-30T19:18:38.685897 INFO Fetching initial page to determine total CPE count...
2025-12-30T19:18:38.869268 INFO Total CPE entries available: 1536474
2025-12-30T19:18:38.869468 INFO Number of pages to download: 154
2025-12-30T19:26:23.819787 INFO Page 59/154 downloaded successfully, entries: 10000
2025-12-30T19:26:30.820206 INFO Downloading page 60/154 (startIndex: 590000, attempt: 1/5)
2025-12-30T19:26:32.655578 INFO Page 60/154 downloaded successfully, entries: 10000
2025-12-30T19:26:39.656015 INFO Downloading page 61/154 (startIndex: 600000, attempt: 1/5)
2025-12-30T19:26:40.655739 INFO Page 61/154 downloaded successfully, entries: 10000
2025-12-30T19:26:47.656162 INFO Downloading page 62/154 (startIndex: 610000, attempt: 1/5)
2025-12-30T19:26:49.006007 INFO Page 62/154 downloaded successfully, entries: 10000
2025-12-30T19:26:56.006409 INFO Downloading page 63/154 (startIndex: 620000, attempt: 1/5)
2025-12-30T19:26:56.817756 INFO Page 63/154 downloaded successfully, entries: 10000
2025-12-30T19:27:03.818148 INFO Downloading page 64/154 (startIndex: 630000, attempt: 1/5)
2025-12-30T19:27:04.787085 INFO Page 64/154 downloaded successfully, entries: 10000
2025-12-30T19:27:11.787531 INFO Downloading page 65/154 (startIndex: 640000, attempt: 1/5)
2025-12-30T19:27:12.823795 INFO Page 65/154 downloaded successfully, entries: 10000
2025-12-30T19:27:19.824193 INFO Downloading page 66/154 (startIndex: 650000, attempt: 1/5)
2025-12-30T19:27:20.711324 INFO Page 66/154 downloaded successfully, entries: 10000
2025-12-30T19:27:27.711754 INFO Downloading page 67/154 (startIndex: 660000, attempt: 1/5)
2025-12-30T19:27:28.861551 INFO Page 67/154 downloaded successfully, entries: 10000
2025-12-30T19:27:35.861968 INFO Downloading page 68/154 (startIndex: 670000, attempt: 1/5)
2025-12-30T19:27:36.807807 INFO Page 68/154 downloaded successfully, entries: 10000
2025-12-30T19:27:43.808232 INFO Downloading page 69/154 (startIndex: 680000, attempt: 1/5)
2025-12-30T19:27:45.301021 INFO Page 69/154 downloaded successfully, entries: 10000
2025-12-30T19:27:52.301466 INFO Downloading page 70/154 (startIndex: 690000, attempt: 1/5)
2025-12-30T19:27:53.164039 INFO Page 70/154 downloaded successfully, entries: 10000
2025-12-30T19:28:00.164439 INFO Downloading page 71/154 (startIndex: 700000, attempt: 1/5)
2025-12-30T19:28:01.224320 INFO Page 71/154 downloaded successfully, entries: 10000
2025-12-30T19:28:08.224778 INFO Downloading page 72/154 (startIndex: 710000, attempt: 1/5)
2025-12-30T19:28:09.163395 INFO Page 72/154 downloaded successfully, entries: 10000
2025-12-30T19:28:16.164255 INFO Downloading page 73/154 (startIndex: 720000, attempt: 1/5)
2025-12-30T19:28:17.166114 INFO Page 73/154 downloaded successfully, entries: 10000
2025-12-30T19:28:24.166567 INFO Downloading page 74/154 (startIndex: 730000, attempt: 1/5)
2025-12-30T19:28:25.096069 INFO Page 74/154 downloaded successfully, entries: 10000
2025-12-30T19:28:32.096506 INFO Downloading page 75/154 (startIndex: 740000, attempt: 1/5)
2025-12-30T19:28:33.127240 INFO Page 75/154 downloaded successfully, entries: 10000
2025-12-30T19:28:40.127657 INFO Downloading page 76/154 (startIndex: 750000, attempt: 1/5)
2025-12-30T19:28:41.001880 INFO Page 76/154 downloaded successfully, entries: 10000
2025-12-30T19:28:48.002284 INFO Downloading page 77/154 (startIndex: 760000, attempt: 1/5)
2025-12-30T19:28:48.941431 INFO Page 77/154 downloaded successfully, entries: 10000
2025-12-30T19:28:55.941843 INFO Downloading page 78/154 (startIndex: 770000, attempt: 1/5)
2025-12-30T19:28:56.803209 INFO Page 78/154 downloaded successfully, entries: 10000
2025-12-30T19:29:03.803620 INFO Downloading page 79/154 (startIndex: 780000, attempt: 1/5)
2025-12-30T19:29:05.140409 INFO Page 79/154 downloaded successfully, entries: 10000
2025-12-30T19:29:12.140885 INFO Downloading page 80/154 (startIndex: 790000, attempt: 1/5)
2025-12-30T19:29:13.293157 INFO Page 80/154 downloaded successfully, entries: 10000
2025-12-30T19:29:20.293602 INFO Downloading page 81/154 (startIndex: 800000, attempt: 1/5)
2025-12-30T19:29:21.410506 INFO Page 81/154 downloaded successfully, entries: 10000
2025-12-30T19:29:28.410999 INFO Downloading page 82/154 (startIndex: 810000, attempt: 1/5)
2025-12-30T19:29:29.410665 INFO Page 82/154 downloaded successfully, entries: 10000
2025-12-30T19:29:36.411043 INFO Downloading page 83/154 (startIndex: 820000, attempt: 1/5)
2025-12-30T19:29:37.375252 INFO Page 83/154 downloaded successfully, entries: 10000
2025-12-30T19:29:44.375668 INFO Downloading page 84/154 (startIndex: 830000, attempt: 1/5)
2025-12-30T19:29:45.501563 INFO Page 84/154 downloaded successfully, entries: 10000
2025-12-30T19:29:52.501958 INFO Downloading page 85/154 (startIndex: 840000, attempt: 1/5)
2025-12-30T19:29:53.580110 INFO Page 85/154 downloaded successfully, entries: 10000
2025-12-30T19:30:00.580632 INFO Downloading page 86/154 (startIndex: 850000, attempt: 1/5)
2025-12-30T19:30:02.814975 INFO Page 86/154 downloaded successfully, entries: 10000
2025-12-30T19:30:09.815399 INFO Downloading page 87/154 (startIndex: 860000, attempt: 1/5)
2025-12-30T19:30:10.901201 INFO Page 87/154 downloaded successfully, entries: 10000
2025-12-30T19:30:17.901644 INFO Downloading page 88/154 (startIndex: 870000, attempt: 1/5)
2025-12-30T19:30:19.006271 INFO Page 88/154 downloaded successfully, entries: 10000
2025-12-30T19:30:26.006691 INFO Downloading page 89/154 (startIndex: 880000, attempt: 1/5)
2025-12-30T19:30:32.671519 INFO Page 89/154 downloaded successfully, entries: 10000
2025-12-30T19:30:39.672088 INFO Downloading page 90/154 (startIndex: 890000, attempt: 1/5)
2025-12-30T19:30:42.133455 INFO Page 90/154 downloaded successfully, entries: 10000
2025-12-30T19:30:49.133904 INFO Downloading page 91/154 (startIndex: 900000, attempt: 1/5)
2025-12-30T19:30:50.119692 INFO Page 91/154 downloaded successfully, entries: 10000
2025-12-30T19:30:57.120158 INFO Downloading page 92/154 (startIndex: 910000, attempt: 1/5)
2025-12-30T19:30:58.596824 INFO Page 92/154 downloaded successfully, entries: 10000
2025-12-30T19:31:05.597258 INFO Downloading page 93/154 (startIndex: 920000, attempt: 1/5)
2025-12-30T19:31:06.795751 INFO Page 93/154 downloaded successfully, entries: 10000
2025-12-30T19:31:13.796159 INFO Downloading page 94/154 (startIndex: 930000, attempt: 1/5)
2025-12-30T19:31:16.878750 INFO Page 94/154 downloaded successfully, entries: 10000
2025-12-30T19:31:23.879140 INFO Downloading page 95/154 (startIndex: 940000, attempt: 1/5)
2025-12-30T19:31:24.956193 INFO Page 95/154 downloaded successfully, entries: 10000
2025-12-30T19:31:31.956647 INFO Downloading page 96/154 (startIndex: 950000, attempt: 1/5)
2025-12-30T19:31:32.833369 INFO Page 96/154 downloaded successfully, entries: 10000
2025-12-30T19:31:39.833808 INFO Downloading page 97/154 (startIndex: 960000, attempt: 1/5)
2025-12-30T19:31:40.818057 INFO Page 97/154 downloaded successfully, entries: 10000
2025-12-30T19:31:47.818578 INFO Downloading page 98/154 (startIndex: 970000, attempt: 1/5)
2025-12-30T19:31:48.931470 INFO Page 98/154 downloaded successfully, entries: 10000
2025-12-30T19:31:55.931924 INFO Downloading page 99/154 (startIndex: 980000, attempt: 1/5)
2025-12-30T19:31:56.851530 INFO Page 99/154 downloaded successfully, entries: 10000
2025-12-30T19:32:03.851938 INFO Downloading page 100/154 (startIndex: 990000, attempt: 1/5)
2025-12-30T19:32:05.002954 INFO Page 100/154 downloaded successfully, entries: 10000
2025-12-30T19:32:12.003410 INFO Downloading page 101/154 (startIndex: 1000000, attempt: 1/5)
2025-12-30T19:32:12.866746 INFO Page 101/154 downloaded successfully, entries: 10000
2025-12-30T19:32:19.867166 INFO Downloading page 102/154 (startIndex: 1010000, attempt: 1/5)
2025-12-30T19:32:20.815909 INFO Page 102/154 downloaded successfully, entries: 10000
2025-12-30T19:32:27.816388 INFO Downloading page 103/154 (startIndex: 1020000, attempt: 1/5)
2025-12-30T19:32:28.700204 INFO Page 103/154 downloaded successfully, entries: 10000
2025-12-30T19:32:35.700615 INFO Downloading page 104/154 (startIndex: 1030000, attempt: 1/5)
2025-12-30T19:32:36.756652 INFO Page 104/154 downloaded successfully, entries: 10000
2025-12-30T19:32:43.757085 INFO Downloading page 105/154 (startIndex: 1040000, attempt: 1/5)
2025-12-30T19:32:44.808090 INFO Page 105/154 downloaded successfully, entries: 10000
2025-12-30T19:32:51.808501 INFO Downloading page 106/154 (startIndex: 1050000, attempt: 1/5)
2025-12-30T19:32:52.846916 INFO Page 106/154 downloaded successfully, entries: 10000
2025-12-30T19:32:59.847387 INFO Downloading page 107/154 (startIndex: 1060000, attempt: 1/5)
2025-12-30T19:33:00.804251 INFO Page 107/154 downloaded successfully, entries: 10000
2025-12-30T19:33:07.804676 INFO Downloading page 108/154 (startIndex: 1070000, attempt: 1/5)
2025-12-30T19:33:08.953173 INFO Page 108/154 downloaded successfully, entries: 10000
2025-12-30T19:33:15.953551 INFO Downloading page 109/154 (startIndex: 1080000, attempt: 1/5)
2025-12-30T19:33:16.951480 INFO Page 109/154 downloaded successfully, entries: 10000
2025-12-30T19:33:23.951938 INFO Downloading page 110/154 (startIndex: 1090000, attempt: 1/5)
2025-12-30T19:33:26.747724 INFO Page 110/154 downloaded successfully, entries: 10000
2025-12-30T19:33:33.748151 INFO Downloading page 111/154 (startIndex: 1100000, attempt: 1/5)
2025-12-30T19:33:34.666536 INFO Page 111/154 downloaded successfully, entries: 10000
2025-12-30T19:33:41.666952 INFO Downloading page 112/154 (startIndex: 1110000, attempt: 1/5)
2025-12-30T19:33:42.860535 INFO Page 112/154 downloaded successfully, entries: 10000
2025-12-30T19:33:49.860948 INFO Downloading page 113/154 (startIndex: 1120000, attempt: 1/5)
2025-12-30T19:33:50.858199 INFO Page 113/154 downloaded successfully, entries: 10000
2025-12-30T19:33:57.858626 INFO Downloading page 114/154 (startIndex: 1130000, attempt: 1/5)
2025-12-30T19:33:59.243081 INFO Page 114/154 downloaded successfully, entries: 10000
2025-12-30T19:34:06.243535 INFO Downloading page 115/154 (startIndex: 1140000, attempt: 1/5)
2025-12-30T19:34:07.334822 INFO Page 115/154 downloaded successfully, entries: 10000
2025-12-30T19:34:14.335241 INFO Downloading page 116/154 (startIndex: 1150000, attempt: 1/5)
2025-12-30T19:34:15.256538 INFO Page 116/154 downloaded successfully, entries: 10000
2025-12-30T19:34:22.257015 INFO Downloading page 117/154 (startIndex: 1160000, attempt: 1/5)
2025-12-30T19:34:23.251535 INFO Page 117/154 downloaded successfully, entries: 10000
2025-12-30T19:34:30.251953 INFO Downloading page 118/154 (startIndex: 1170000, attempt: 1/5)
2025-12-30T19:34:31.234519 INFO Page 118/154 downloaded successfully, entries: 10000
2025-12-30T19:34:38.234912 INFO Downloading page 119/154 (startIndex: 1180000, attempt: 1/5)
2025-12-30T19:34:39.713525 INFO Page 119/154 downloaded successfully, entries: 10000
2025-12-30T19:34:46.714023 INFO Downloading page 120/154 (startIndex: 1190000, attempt: 1/5)
2025-12-30T19:34:47.699759 INFO Page 120/154 downloaded successfully, entries: 10000
2025-12-30T19:34:54.700191 INFO Downloading page 121/154 (startIndex: 1200000, attempt: 1/5)
2025-12-30T19:34:55.604113 INFO Page 121/154 downloaded successfully, entries: 10000
2025-12-30T19:35:02.604585 INFO Downloading page 122/154 (startIndex: 1210000, attempt: 1/5)
2025-12-30T19:35:05.031880 INFO Page 122/154 downloaded successfully, entries: 10000
2025-12-30T19:35:12.032293 INFO Downloading page 123/154 (startIndex: 1220000, attempt: 1/5)
2025-12-30T19:35:13.189140 INFO Page 123/154 downloaded successfully, entries: 10000
2025-12-30T19:35:20.189591 INFO Downloading page 124/154 (startIndex: 1230000, attempt: 1/5)
2025-12-30T19:35:21.172103 INFO Page 124/154 downloaded successfully, entries: 10000
2025-12-30T19:35:28.172574 INFO Downloading page 125/154 (startIndex: 1240000, attempt: 1/5)
2025-12-30T19:35:29.281813 INFO Page 125/154 downloaded successfully, entries: 10000
2025-12-30T19:35:36.282215 INFO Downloading page 126/154 (startIndex: 1250000, attempt: 1/5)
2025-12-30T19:35:37.414850 INFO Page 126/154 downloaded successfully, entries: 10000
2025-12-30T19:35:44.415270 INFO Downloading page 127/154 (startIndex: 1260000, attempt: 1/5)
2025-12-30T19:35:45.319860 INFO Page 127/154 downloaded successfully, entries: 10000
2025-12-30T19:35:52.320253 INFO Downloading page 128/154 (startIndex: 1270000, attempt: 1/5)
2025-12-30T19:35:53.330151 INFO Page 128/154 downloaded successfully, entries: 10000
2025-12-30T19:36:00.330586 INFO Downloading page 129/154 (startIndex: 1280000, attempt: 1/5)
2025-12-30T19:36:01.407180 INFO Page 129/154 downloaded successfully, entries: 10000
2025-12-30T19:36:08.407600 INFO Downloading page 130/154 (startIndex: 1290000, attempt: 1/5)
2025-12-30T19:36:09.736285 INFO Page 130/154 downloaded successfully, entries: 10000
2025-12-30T19:36:16.737016 INFO Downloading page 131/154 (startIndex: 1300000, attempt: 1/5)
2025-12-30T19:36:18.035702 INFO Page 131/154 downloaded successfully, entries: 10000
2025-12-30T19:36:25.036107 INFO Downloading page 132/154 (startIndex: 1310000, attempt: 1/5)
2025-12-30T19:36:26.323844 INFO Page 132/154 downloaded successfully, entries: 10000
2025-12-30T19:36:33.324288 INFO Downloading page 133/154 (startIndex: 1320000, attempt: 1/5)
2025-12-30T19:36:34.437520 INFO Page 133/154 downloaded successfully, entries: 10000
2025-12-30T19:36:41.438039 INFO Downloading page 134/154 (startIndex: 1330000, attempt: 1/5)
2025-12-30T19:36:42.559303 INFO Page 134/154 downloaded successfully, entries: 10000
2025-12-30T19:36:49.559730 INFO Downloading page 135/154 (startIndex: 1340000, attempt: 1/5)
2025-12-30T19:36:50.479049 INFO Page 135/154 downloaded successfully, entries: 10000
2025-12-30T19:36:57.479499 INFO Downloading page 136/154 (startIndex: 1350000, attempt: 1/5)
2025-12-30T19:36:58.450585 INFO Page 136/154 downloaded successfully, entries: 10000
2025-12-30T19:37:05.451011 INFO Downloading page 137/154 (startIndex: 1360000, attempt: 1/5)
2025-12-30T19:37:06.555451 INFO Page 137/154 downloaded successfully, entries: 10000
2025-12-30T19:37:13.555863 INFO Downloading page 138/154 (startIndex: 1370000, attempt: 1/5)
2025-12-30T19:37:14.587693 INFO Page 138/154 downloaded successfully, entries: 10000
2025-12-30T19:37:21.588092 INFO Downloading page 139/154 (startIndex: 1380000, attempt: 1/5)
2025-12-30T19:37:22.759886 INFO Page 139/154 downloaded successfully, entries: 10000
2025-12-30T19:37:29.760259 INFO Downloading page 140/154 (startIndex: 1390000, attempt: 1/5)
2025-12-30T19:37:30.890460 INFO Page 140/154 downloaded successfully, entries: 10000
2025-12-30T19:37:37.890922 INFO Downloading page 141/154 (startIndex: 1400000, attempt: 1/5)
2025-12-30T19:37:38.933386 INFO Page 141/154 downloaded successfully, entries: 10000
2025-12-30T19:37:45.933823 INFO Downloading page 142/154 (startIndex: 1410000, attempt: 1/5)
2025-12-30T19:37:46.898426 INFO Page 142/154 downloaded successfully, entries: 10000
2025-12-30T19:37:53.898915 INFO Downloading page 143/154 (startIndex: 1420000, attempt: 1/5)
2025-12-30T19:37:54.806261 INFO Page 143/154 downloaded successfully, entries: 10000
2025-12-30T19:38:01.806744 INFO Downloading page 144/154 (startIndex: 1430000, attempt: 1/5)
2025-12-30T19:38:02.896049 INFO Page 144/154 downloaded successfully, entries: 10000
2025-12-30T19:38:09.896475 INFO Downloading page 145/154 (startIndex: 1440000, attempt: 1/5)
2025-12-30T19:38:10.683626 INFO Page 145/154 downloaded successfully, entries: 10000
2025-12-30T19:38:17.684053 INFO Downloading page 146/154 (startIndex: 1450000, attempt: 1/5)
2025-12-30T19:38:18.446179 INFO Page 146/154 downloaded successfully, entries: 10000
2025-12-30T19:38:25.446604 INFO Downloading page 147/154 (startIndex: 1460000, attempt: 1/5)
2025-12-30T19:38:26.148988 INFO Page 147/154 downloaded successfully, entries: 10000
2025-12-30T19:38:33.149384 INFO Downloading page 148/154 (startIndex: 1470000, attempt: 1/5)
